Title,Description,Identifier,Format,Type,Access rights statement,Copyright Statement,Collection,Digital Uri,ILMS Identifier,ILMS URI,Creator,Date,Location,Physical format
"Melbourne and Metropolitan Board of Works detail plan, 1253, City of Fitzroy [cartographic material].","Streets shown include Scotchmer Street, Best Street, St Georges Road, Watkins Street, Rae Street, Brunswick Street, Reid Street, Seacombe Street, Egremont Street and Tranmere Street.",bw0235,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1581306/oai_set/api_map,1164403,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1164403,Melbourne and Metropolitan Board of Works,1902,"Fitzroy North, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 904 & 905, City of Melbourne [cartographic material].","Streets shown include Pasley Street, Hodddle Street [Punt Road] and Commercial Road.",bw0520,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1741638/oai_set/api_map,1171358,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1171358,Melbourne and Metropolitan Board of Works,1896,"South Yarra, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1375, City of St. Kilda [cartographic material]","Streets shown include Havelock Street, Carlisle Street, Barkly Street, Acland Street, Belford Street, Irwell Street and Albert Street.",bw0674,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1754283/oai_set/api_map,1186696,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186696,Melbourne and Metropolitan Board of Works,1897,"St. Kilda, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 59, Town of Williamstown [cartographic material]","Streets shown include Queen Street, John Street, Melbourne Road, Princes Street, Albert Street and Russell Street.",bw0739,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1761816/oai_set/api_map,1176817,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1176817,Melbourne and Metropolitan Board of Works.,1905,"Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 137, Town of Williamstown [cartographic material]","Streets shown include Champion Road, Melbourne and Geelong Railway. Also shows Slaughter House and Refrigerating works.",bw0785,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1791020/oai_set/api_map,1193885,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1193885,Melbourne and Metropolitan Board of Works,1911,"Williamstown, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 221, City of Footscray [cartographic material]","Streets shown include Grace Street, Hood Street, Commercial Road, Somerville Road, Harison Street, Agnes Street, Bayview Road, Montague Street, Regent Street, Hamilton Street, Albert Street and Smith Street.",bw0841,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1802379/oai_set/api_map,1163293,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163293,Melbourne and Metropolitan Board of Works,1895,"Seddon, Victoria & Footscray, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 303, 306, 307, 308, City of Footscray [cartographic material].","Streets shown include Maribyrnong Street, Hopkins Street, Cowper Street, Newell Street, Moreland Street,  Whitehall Street, Donald Street, Ryan Street, Railway Place, Ryan Street and Edwards Street.",bw0895,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1807130/oai_set/api_map,1163037,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163037,Melbourne and Metropolitan Board of Works,1895,"Footscray, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1438, City of St. Kilda [cartographic material]","Streets shown include Carlisle Street, Hotham Street, The Avenue and William Street.",bw0932,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1807211/oai_set/api_map,1194836,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1194836,Melbourne and Metropolitan Board of Works,1898,"St. Kilda, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1460, Caulfield [cartographic material].","Streets shown include Kooyong Road, Glen Huntly Road, Foster Street, Hopetoun Street, Morton Street, Murray Street and Edward Street.",bw0955,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1814989/oai_set/api_map,1183343,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1183343,Melbourne and Metropolitan Board of Works,1902,"Elsternwick, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1591, Borough of Kew [cartographic material].","Streets shown include Park Hill Road, Kent Street, Belmont Avenue, Cotham Road and Ermington Lane.",bw1050,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1825563/oai_set/api_map,1186523,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186523,Melbourne and Metropolitan Board of Works.,1904,"Kew, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1773, Town of Malvern [cartographic material].",Streets shown include Elizabeth Street.,bw1187,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1826292/oai_set/api_map,1187931,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1187931,Melbourne and Metropolitan Board of Works.,1907,"Malvern, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2128, Town of Brighton [cartographic material].","Streets shown include Park Street, New Street, Wellington Street and Victoria Street.",bw1543,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1851032/oai_set/api_map,1197439,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1197439,Melbourne and Metropolitan Board of Works,1906,"Brighton, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1542, City of Hawthorn [cartographic material].","Streets shown include Symmond Street, Aberdeen Street, Riversdale Road, Munro Street, Fritsch Road, Carnarvon Street and Loch Street.",bw1384,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1852374/oai_set/api_map,1185713,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1185713,Melbourne and Metropolitan Board of Works.,1903,"Hawthorn East, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2553, Municipality of Caulfield [cartographic material].","Streets shown include Anzac Street, Murrumbeena Road, Neerim Road, Beena Avenue and Oakdene Crescent.",bw1886,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1911125/oai_set/api_map,1203054,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1203054,Melbourne and Metropolitan Board of Works,1918,"Carnegie, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2786, Caulfield [cartographic material].",Streets shown include Grange Road and Neville Street.,bw2013,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1937965/oai_set/api_map,1189859,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1189859,Melbourne and Metropolitan Board of Works,1924,"Caulfield, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2767, Municipality of Caulfield [cartographic material].","Streets shown include Glenhuntly Road, Glen Huntly Railway Station, Malvolio Street, James Street, Rothschild Street, Augusta Street and Booran Road.",bw1996,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1938081/oai_set/api_map,1206564,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1206564,Melbourne and Metropolitan Board of Works,1915,"Glenhuntly, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2815, Coburg [cartographic material].","Streets shown include Henley Street, Wadham Street, Moreland Road, Winona Grove, Marsden Avenue, Coonans Road, Beresford Street, Lothair Street and Langtree Avenue.",bw2037,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1947847/oai_set/api_map,1189842,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1189842,Melbourne and Metropolitan Board of Works,1949,"Pascoe Vale South, Victoria & Coburg, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3060, Municipality of Box Hill [cartographic material].","Streets shown include Clyde Street, Watt Street, Tyne Street, Medway Street, Severn Street, Thames Street, Station Street.",bw2203,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1958377/oai_set/api_map,1221529,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1221529,Melbourne and Metropolitan Board of Works,1929,"Box Hill North, Victoria",1 map ; 79 x 130 cm.  Sewerage
