PID,Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Relationship,Digital URI,ILMS Identifier,ILMS URI,Creator/Contributor,Date,Location,Accession number
2974587,"Alkira House. 18 Queen St, Melbourne","Alkira House , a 1937 six storey inter-war building, was designed by J H Wardrop, who also designed the Shrine of Remembrance. The use of glass bricks, distinct tiles and the vertical design make this building a rare example of Jazz Moderne Art Deco architecture in Melbourne.",jc019534,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2975890,1700142,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1700142,"Collins, John T. 1907-2001 , photographer.",1978-01-08,"""-37.818325, 144.962536"", 18 Queen",H98.252/1209
932957,Melbourne Post Office And Post Office Club Hotel,"The Melbourne General Post Office, otherwise known as the GPO, is situated in the centre of Melbourne's business district, on the corner of Bourke and Elizabeth Streets. The neo-Renaissance building was begun in 1859 and completed in stages, with the last completed in 1907. The third level clock tower provided accurate and reliable time for Melburnians. It came to represent the symbolic heart of Melbourne. Indeed, road distances from Melbourne are measured in kilometres from the GPO. In 2001 the GPO was closed and, following a fire the same year, the original aspects of the building were restored. It re-opened in 2004 as a retail outlet.",pi011466,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/933436,2100310,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2100310,"Kent, Bob, 1909?- compiler.",1946,"Cnr Bourke street and Elizabeth street, Melbourne, -37.81428528,144.9633026, 361 Bourke street, Melbourne",H2010.120/2
414255,"Looking West Collins St., Melbourne","The MLC (Mutual Life and Citizens Assurance) Building was designed by architect Kingsley Henderson and erected in 1930. An inter-war building, its twelve floors with art-deco detailing lead stylishly to a sky-scraper tower. It was demolished in 1960 to make way for a new MLC building.",rg004806,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/419506,1768560,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1768560,Rose Stereograph Co,1920/1954,"""-37.816611, 144.963815"", 303-309 Collins",H32492/4835
3079088,"St. Vincent's Hospital, Victoria Parade, Fitzroy","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006829,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080295,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,"Victoria Parade, Fitzroy",H2008.12/120
1126156,Harry Rickards' Opera House & Prince Of Wales Hotel,"The Tivoli Arcade is all that is left of the original Tivoli Theatre, which suffered extensive fire damage in 1967. From 1914 through 1966, the Tivoli was one of MelbourneÃ¯Â¿Â½s most popular vaudeville theatres. Designed by William Pitt, it was originally named the New Opera House which showed the first motion picture in Australia. The venue subsequently hosted a plethora of international entertainers such as Houdini, WC Fields, Shirley Bassey and Chico Marx.",a16925,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1126354,1698470,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1698470,"Rudd, Charles 1849-1901 photographer.",1892/1900,"""-37.81334305, 144.9663239"", 249 Bourke",H39357/188
2984289,"Melbourne. Mail Exchange. Spencer St., Melbourne","The Mail Exchange was built on the site that surveyor Robert Hoddle once lived on with his family. It was designed by John Smith Murdoch, an architect for the Commonwealth Department of Works who was responsible for many of CanberraÃ¯Â¿Â½s buildings, including the Old Parliament House. Opened in 1917, the Mail Exchange was operated under the Post Master GeneralÃ¯Â¿Â½s Department and later under Australia Post until the mid-1980s. Its classic, Greek influenced conservative design is consistent with other public buildings of the time.",jc019402,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2984407,1699155,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1699155,"Collins, John T. 1907-2001 , photographer.",1980-04-04,"""-37.816338, 144.952797"", 164 Spencer",H98.252/1077
338185,"General Post Office, Melbourne","The Melbourne General Post Office, otherwise known as the GPO, is situated in the centre of MelbourneÃ¢â‚¬â„¢s business district, on the corner of Bourke and Elizabeth Streets. The neo-Renaissance building was begun in 1859 and completed in stages, with the last completed in 1907. The third level clock tower provided accurate and reliable time for Melburnians. It came to represent the symbolic heart of Melbourne. Indeed, road distances from Melbourne are measured in kilometres from the GPO. In 2001 the GPO was closed and, following a fire the same year, the original aspects of the building were restored. It re-opened in 2004 as a retail outlet.",pc004486,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/338201,1913100,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1913100,"Cole, E. W. (Edward William), 1832-1918.",1902/1908,"361 Bourke Street, Melbourne, -37.81428528, 144.9633026, Cnr Bourke street & Elizabeth street, Melbourne",H2009.98/1
2039662,"Treasury Building, Melbourne","17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne. -- PRINCES BRIDGE MELBOURNE--BOURKE ST. MELBOURNE, LOOKING WEST.--ON THE BLOCK COLLINS",pc003333,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2040161,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
1003412,"Flinders Street Railway Station, Melbourne","Flinders Street Station was designed by JW Fowcett and GPG Ashworthand was  finally completed in 1910.  Electric trains began arriving and departing in 1919. Flinders Street is now MelbourneÃ¯Â¿Â½s busiest station and one of the cityÃ¯Â¿Â½s most iconic buildings, used by over 100,000 people every day. The clocks across the arch, part of the original design, show the times of departing trains, and continue to be a popular meeting place for Victorians. In 2013 the State Government announced a billion dollar refurbishment, to include a water-front amphitheatre and a market whilst still retaining the iconic dome and arched entrance.",pi011977,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1003484,2155399,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2155399,,1982,"""-37.816485, 144.966989"", Cnr Flinders & Swanston",H2011.25/1
2972789,"Melbourne Railway Station, Flinders St.",Title and date inscribed by photographer on verso. -- Photographer's stamp on verso. -- Shows view of station from Flinders Street.,jc019162,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2973891,1697165,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697165,"Collins, John T. 1907-2001 , photographer.",1971-02-13,"""-37.818103, 144.965028"", Cnr Flinders & Elizabeth",H98.252/600
642613,"View Of Elizabeth Street, Melbourne","Undated but circa 1930s. -- Inscribed on negative u.l.: Com. Bkg. Co. of Sydney. -- The clouds visible in the sky have been superimposed from a separate negative. -- View from Burke Street intersection, North up Elizabeth Street. Trams, cars and pedestria",is004002,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/643538,1818345,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1818345,"Commercial Photographic Co., photographer.",1930/1939,,H2009.20/45
2061465,Coles Book Arcade,"Cole's Book Arcade opened in 1883 in what is now the Bourke Street Mall. It boasted over 2 million new and second hand books and was famous around the world. The store offered a jovial atmosphere for its customers with a pianist, a fernery and menagerie, along with toys and a confectionery department. Cole provided comfortable chairs for customers and encouraged them to read without buying. Cole also published many editions of his own picture book, Cole's Funny Picture Book, which sold in the hundreds of thousands. EW Cole died in 1918, but the Melbourne Arcade continued until 1929.",pi000685,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2061787,1666827,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1666827,"Shier, Spencer 1884-1946. photographer.   Darge, Algernon 1881-1941 photographer.",1883/1903,"""-37.814029, 144.964717"", 299 Bourke",H96.207/1
435989,"St. Francis Church, Melbourne","St Francis Church is the oldest Catholic Church in Melbourne, built originally as a wooden church in 1841 and designed by Samuel Jackson. It was rebuilt and reopened in 1845 and subsequently had various features added, such as Ã¢â‚¬ËœLadye ChapelÃ¢â‚¬â„¢ in the mid-1850s. It is still very popular today - with over 10,000 weekly attendees.",rg001686,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/438865,1733280,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1733280,Rose Stereograph Co,1920/1954,"326 Lonsdale street, Melbourne, -37.81173325, 144.9624786",H32492/1681
