Title,Location,Name,Relationship,Date,Source,Reference
"Lamb Inn & Store, Yan Yean",Yan Yean South (Vic.),Abbott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 253"
"Morrells Junction, Mooroopna",Mooroopna (Vic.),Allen,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 207"
"Rose & Crown, Ballarat",Peel St (Ballarat Vic.),"Arthur, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 39"
"Commercial Hotel & Post Office & Store, Indigo",Indigo (Vic.),"Ashdown, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 236"
"Royal, Rupanyup",Rupanyup (Vic.),"Ashmore, George Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 118"
"Royal, Mansfield",Mansfield (Vic.),"Baldry, C C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 133"
"Woolpack, Barkly",Barkly (Vic.),"Barker, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 125"
"Limerick Castle, Ballarat",Bridge St (Ballarat Vic.),"Barney, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 7"
"McIvor, Maryborough",Maryborough (Vic.),"Barrett, Henry Harling",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 223"
"Court House, Kyneton",Hutton St (Kyneton Vic.),"Barry, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 353"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bazley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Union, Ballarat",Humffray St (Ballarat Vic.),"Beckman, H",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 29"
"Coleraine, Coleraine",Whyte St (Coleraine Vic.),"Bell, Richardson",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 134"
"Royal Standard, Linton",Suffolk St (Linton Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 56"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Red Bull, Ballarat",Humffray St (Ballarat Vic.),Bellinger,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 31"
"Dudley Castle, Ballarat",Barkly St (Ballarat Vic.),Bennett,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 25"
"Rokewood, Rokewood",Rokewood (Vic.),Bennett,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 100"
"Eureka, Ballarat",Armstrong St (Ballarat Vic.),Bentley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 3"
"White Horse, Ballarat",Main Rd (Ballarat Vic.),"Betts, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 19"
"Cosomopolitan, Ballarat",Humffray St (Ballarat Vic.),"Betts, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 29"
"Windsor Arms, Ballarat",Armstrong St (Ballarat Vic.),"Bextream, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 1"
"Rainbow, Ballarat",Grant St (Ballarat Vic.),"Beyer, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 15"
"George, Ballarat",Lydiard St (Ballarat Vic.),"Bignall, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 34"
"Avenal Arms, Hughes Creek",Hughes Creek (Vic.),"Bignell, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 65"
"Royal Mail, Mooroopna",corner Main & Archer Sts (Mooroopna Vic.),Birch,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 209"
"Commercial, Stawell",Stawell (Vic.),"Blackburn, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 246"
"Excelsior, Ballarat",Dana St (Ballarat Vic.),"Blackett, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 10"
"Britannia, Ballarat",Bridge St (Ballarat Vic.),"Blythen, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 5"
"Railway, Euroa",Euroa (Vic.),"De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 32"
"Bakery Hill, Ballarat",Humffray St (Ballarat Vic.),"Bourke, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 31"
"Macs, Portland",Portland (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 6"
"Merino Inn, Mosquito Flat",Mosquito Flat (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 6"
