Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Collection,Digital URI,ILMS Identifier,ILMS URI,Contributor/Creator,Date,Location,Accession number,Notes
Old Melbourne Motor Inn,,mp018572,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Dennis Mayor collection.,"http://api.slv.vic.gov.au/access_record/3131318
",1790521,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1790521,"Mayor, Dennis",1973,"Melbourne, Victoria",H95.56/326,
"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria","Designed by William Pitt and built 1888-1890 in the Second Empire style, it was demolished in 1973.",ca000116,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486372,1801006,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1801006,"Caldwell, Colin",1963,"Melbourne, Victoria",H84.276/1/35A,
"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria","Designed by William Pitt and built 1888-1890 in the Second Empire style, it was demolished in 1973.",ca000117,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486378,1801006,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1801006,"Caldwell, Colin",1963,"Melbourne, Victoria",H84.276/1/35B,
"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria","Designed by William Pitt and built 1888-1890 in the Second Empire style, it was demolished in 1973.",ca000118,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/2677601,1801006,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1801006,"Caldwell, Colin",1963,"Melbourne, Victoria",H84.276/1/35C,
"Fountain Inn, Port Melbourne, Victoria","Looking along road towards two storey hotel with slate roof, on splayed corner site, double hung sash windows on upper floor and arched windows on ground floor, name of hotel on wall beneath eaves of roof.",ca000336,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486723,1802524,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802524,"Caldwell, Colin",1959,"Port Melbourne, Victoria",H84.276/2/36C,
"Mac's Hotel, 41 Bentinck Street, Portland 1856","Exterior view of three storey hotel on corner, return verandas.",vs000296,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Laurie Burchell collection of photographs of Victoria schools.,"http://api.slv.vic.gov.au/access_record/382126
",1802835,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802835,"Burchell, Laurie",1970/1999,"Portland, Victoria",H2006.165/308,
"Star of the West Hotel, Port Fairy, Victoria","Looking across street to double storey hotel with upper verandah and corrugated iron roof, wrought iron verandah rails, iron supports on porch and upper verandah.",ca000814,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487901,1809029,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1809029,"Caldwell, Colin",1949/1958,"Port Fairy, Victoria",H84.276/6/24A,
"Star of the West Hotel, Port Fairy, Victoria","Looking across street to double storey hotel with upper verandah and corrugated iron roof, wrought iron verandah rails, iron supports on porch and upper verandah.",ca000815,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487902,1809029,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1809029,"Caldwell, Colin",1949/1958,"Port Fairy, Victoria",H84.276/6/24B,
"Star of the West Hotel, Port Fairy, Victoria","Door on south side of the Star of West Hotel, Port Fairy.  Ladies Lounge.",ca000816,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487903,1809029,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1809029,"Caldwell, Colin",1949/1958,"Port Fairy, Victoria",H84.276/6/24C,
Corner of James and Bank Streets,"Looking along Port Fairy street, double storey building on corner, Maloney(?) Victoria Hotel.",dm000042,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Lillian Powling collection.,http://api.slv.vic.gov.au/access_record/1033840,1809641,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1809641,"Powling, Lillian Isobel",1956,"Port Fairy, Victoria",H2008.75/42,
"Star of the West Hotel, Port Fairy, Victoria",Looking along street towards double storey building with porch and first floor verandah supported by posts over footpath.,dm000066,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Lillian Powling collection.,http://api.slv.vic.gov.au/access_record/1033864,1810018,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1810018,"Powling, Lillian Isobel",1956,"Port Fairy, Victoria",H2008.75/66,
"Commercial Hotel, Yambuk, Victoria","Erected in 1870-1871 from designs by Port Fairy architect Captain John Mason. Later called the Yambuk Inn. Looking from road towards hotel constructed of basalt, with bullnose verandah and attic gabled dormer windows.",ca001033,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/488451,1811527,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1811527,"Caldwell, Colin",1958,"Yambuk, Victoria,",H84.276/7/41B,
"Clarkefield Hotel, Clarkefield, Victoria","Built in 1857 to serve as the first Cobb & Co. coaching stop. Double storey bluestone building with porch and upper verandah, carved timber balustrade on upper verandah, quoin work at corners.",ca001046,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/488484,1811666,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1811666,"Caldwell, Colin",1958,"Clarkefield, Victoria",H84.276/7/44C,"Clarkefield Hotel (Clarkefield, Vic.)"
"Spencer Street East, Melbourne, Victoria",Between Bourke and Little Collins Streets: Looking up street towards Carlyon's Hotel.,dc000176,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.","http://api.slv.vic.gov.au/access_record/348233
",1855756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1855756,"Halla, K. J.",1967/1968,"Spencer Street, Melbourne, Victoria",H36133/176,
"Spencer Street East, Melbourne, Victoria",Looking directly across road to facade of Carlyon's Hotel.,dc000177,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.","http://api.slv.vic.gov.au/access_record/348234
",1855756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1855756,"Halla, K. J.",1967/1968,"Spencer Street, Melbourne, Victoria",H36133/177,
"Spencer Street East, Melbourne, Victoria","Looking further up Spencer street with Carlyon Hotel just visible on right, corner of street on left .",dc000178,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.","http://api.slv.vic.gov.au/access_record/348235
",1855756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1855756,"Halla, K. J.",1967/1968,"Spencer Street, Melbourne, Victoria",H36133/178,
"Spencer Street East, Melbourne, Victoria",Corner of Spencer Street east and Francis Street north: Looking across road towards corner Australian Hotel.,dc000179,JPG,Image,Use of this work allowed provided the creator and SLV acknowledged. No known copyright restrictions apply.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,"Halla collection of negatives. Views of East Melbourne, Fitzroy, Melbourne & North Melbourne.","http://api.slv.vic.gov.au/access_record/348236
",1855756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1855756,"Halla, K. J.",1967/1968,"Spencer Street, Melbourne, Victoria",H36133/179,
